IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
162.159.251.223,4,4,0.00,188.41,8.32
162.159.253.97,4,4,0.00,185.64,5.29
162.159.252.134,4,4,0.00,187.21,0.58
141.101.123.115,4,4,0.00,182.33,0.00
141.101.120.12,4,4,0.00,184.63,0.00
141.101.122.217,4,4,0.00,185.03,0.00
141.101.121.181,4,4,0.00,181.89,0.00
162.159.249.75,4,4,0.00,189.20,0.00
162.159.255.225,4,4,0.00,190.50,0.00
162.159.38.126,4,4,0.00,191.26,0.00
